session_id,"question_key","answer_value",answer_order
1395894,"currentSavings","3",24
1395894,"location","c4536001673379765300886594b6b485",21
1395895,"currentSavings","2",22
1395895,"location","b02bdabdb6207b3c1c87fa53489887c5",19
1395896,"currentSavings","4",23
1395896,"location","b803f0a4e6b8514f2dab43eaca581b05",20
1395897,"currentSavings","5",24
1395897,"location","3cef7ae8c46e3dbbe1dfaea0e28c294c",21
1395898,"currentSavings","3",25
1395898,"location","86561200f3f1f2bf5cd4218495323b3f",22
1395899,"currentSavings","4",23
1395899,"location","16b872fc557900838e19f750151167e4",20
1395900,"currentSavings","5",24
1395900,"location","dec20a580ed2a280749eb3d214244870",21
1395901,"currentSavings","3",23
1395901,"location","63cc1666a1ea5658988a517f5cf3e11a",20
1395902,"currentSavings","3",22
1395902,"location","86cbb7dba804b6c34f1f251e4869b479",19
1395903,"currentSavings","1",24
1395903,"location","21e87d60d203d6255ade5d35a6184b84",21
1395904,"currentSavings","3",22
1395904,"location","b3d7f5391f5cd69618e7c6adde21e3f1",19
1395905,"currentSavings","5",22
1395905,"location","30b3c5f644a40b7c1363b772850ba164",19
1395906,"currentSavings","2",26
1395906,"location","fc980938978e9f85d16d3bc30af6efce",23
1395907,"currentSavings","0",22
1395907,"location","bdab1c7743ced2eb2540eaae25be0a68",19
1395908,"currentSavings","2",24
1395908,"location","d59af5474545d9affea624e381c2b638",21
1395909,"currentSavings","4",23
1395909,"location","0d6a5fd333cfc7d6823bce37047d8d12",20
1395910,"currentSavings","3",25
1395910,"location","a7a0a1f4201d3a346c365914c1ebb3bd",22
1395911,"currentSavings","0",26
1395911,"location","1fb7c163ac90e52d039b7ee20b8d3cb2",23
1395912,"currentSavings","4",22
1395912,"location","9d5f6881b7700a87a8be01e17552cebd",19
1395913,"currentSavings","3",26
1395913,"location","dc1d3cb9517bda57aacd65f5b1986c6e",23
1395914,"currentSavings","2",24
1395914,"location","e1e01cfaeb8a01c98ca42e3fc879c5e0",21
1395915,"currentSavings","1",25
1395915,"location","e1057e379637ce89356077f77a93bbac",22
1395916,"currentSavings","0",22
1395916,"location","b803a9254688e259cde2ec0361c8abe4",19
1395917,"currentSavings","3",24
1395917,"location","51aa0a41c57f3f62f43ff245a59ebe59",21
1395918,"currentSavings","0",22
1395918,"location","12967cc2a03871bd9eef46ed6da69398",19
1395919,"currentSavings","3",23
1395919,"location","550c12438b706ab3df2e24b542c8f221",20
1395920,"currentSavings","2",23
1395920,"location","72d7e3b85700ddfd5f3f010d5507e13e",20
1395921,"currentSavings","3",23
